"Title","RPI: Percentage change over 1 month - Cheese"
"CDID","SGFU"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","15-09-2021"
"Next release","20 October 2021"
"Important notes",
"2004 AUG","-1.2"
"2004 SEP","0.4"
"2004 OCT","-0.2"
"2004 NOV","0.7"
"2004 DEC","0.2"
"2005 JAN","0.4"
"2005 FEB","-0.6"
"2005 MAR","0.9"
"2005 APR","-0.3"
"2005 MAY","-0.1"
"2005 JUN","0.8"
"2005 JUL","-0.1"
"2005 AUG","1.2"
"2005 SEP","0.6"
"2005 OCT","-0.7"
"2005 NOV","1.0"
"2005 DEC","0.5"
"2006 JAN","0.2"
"2006 FEB","-1.0"
"2006 MAR","-0.1"
"2006 APR","0.4"
"2006 MAY","0.2"
"2006 JUN","0.0"
"2006 JUL","-0.5"
"2006 AUG","0.7"
"2006 SEP","-0.3"
"2006 OCT","-0.1"
"2006 NOV","0.2"
"2006 DEC","0.2"
"2007 JAN","0.1"
"2007 FEB","-1.4"
"2007 MAR","1.6"
"2007 APR","-0.2"
"2007 MAY","0.6"
"2007 JUN","-0.4"
"2007 JUL","-0.1"
"2007 AUG","0.3"
"2007 SEP","2.7"
"2007 OCT","1.8"
"2007 NOV","3.4"
"2007 DEC","2.4"
"2008 JAN","-1.3"
"2008 FEB","3.9"
"2008 MAR","2.1"
"2008 APR","-0.6"
"2008 MAY","1.0"
"2008 JUN","1.7"
"2008 JUL","-0.7"
"2008 AUG","1.8"
"2008 SEP","0.0"
"2008 OCT","0.0"
"2008 NOV","0.9"
"2008 DEC","1.1"
"2009 JAN","-1.6"
"2009 FEB","2.1"
"2009 MAR","1.3"
"2009 APR","-1.0"
"2009 MAY","-0.2"
"2009 JUN","-2.0"
"2009 JUL","-0.3"
"2009 AUG","0.9"
"2009 SEP","0.9"
"2009 OCT","0.3"
"2009 NOV","-0.9"
"2009 DEC","0.4"
"2010 JAN","-0.3"
"2010 FEB","0.5"
"2010 MAR","1.7"
"2010 APR","-0.3"
"2010 MAY","-0.8"
"2010 JUN","-1.0"
"2010 JUL","3.6"
"2010 AUG","-1.3"
"2010 SEP","-1.7"
"2010 OCT","3.6"
"2010 NOV","-0.4"
"2010 DEC","1.7"
"2011 JAN","-1.5"
"2011 FEB","2.2"
"2011 MAR","-0.4"
"2011 APR","-1.1"
"2011 MAY","-1.6"
"2011 JUN","2.1"
"2011 JUL","4.4"
"2011 AUG","3.6"
"2011 SEP","-1.3"
"2011 OCT","-2.2"
"2011 NOV","1.6"
"2011 DEC","0.3"
"2012 JAN","1.5"
"2012 FEB","-1.7"
"2012 MAR","1.1"
"2012 APR","-0.6"
"2012 MAY","-0.6"
"2012 JUN","0.0"
"2012 JUL","0.3"
"2012 AUG","-0.5"
"2012 SEP","1.2"
"2012 OCT","-0.7"
"2012 NOV","-0.2"
"2012 DEC","-0.5"
"2013 JAN","0.7"
"2013 FEB","-1.9"
"2013 MAR","1.9"
"2013 APR","-0.9"
"2013 MAY","-0.8"
"2013 JUN","1.0"
"2013 JUL","0.7"
"2013 AUG","3.5"
"2013 SEP","-2.1"
"2013 OCT","0.6"
"2013 NOV","1.1"
"2013 DEC","-0.2"
"2014 JAN","1.7"
"2014 FEB","0.3"
"2014 MAR","0.4"
"2014 APR","0.0"
"2014 MAY","-0.7"
"2014 JUN","0.9"
"2014 JUL","-1.8"
"2014 AUG","1.0"
"2014 SEP","0.2"
"2014 OCT","-2.7"
"2014 NOV","3.3"
"2014 DEC","-0.9"
"2015 JAN","0.2"
"2015 FEB","-3.7"
"2015 MAR","2.2"
"2015 APR","-0.7"
"2015 MAY","-1.3"
"2015 JUN","2.7"
"2015 JUL","-1.9"
"2015 AUG","-1.7"
"2015 SEP","0.3"
"2015 OCT","-1.5"
"2015 NOV","1.4"
"2015 DEC","0.2"
"2016 JAN","-1.9"
"2016 FEB","1.5"
"2016 MAR","-0.4"
"2016 APR","-2.1"
"2016 MAY","3.1"
"2016 JUN","-2.9"
"2016 JUL","2.0"
"2016 AUG","-1.6"
"2016 SEP","-1.9"
"2016 OCT","2.1"
"2016 NOV","-1.7"
"2016 DEC","0.3"
"2017 JAN","1.2"
"2017 FEB","0.6"
"2017 MAR","1.2"
"2017 APR","-2.2"
"2017 MAY","1.8"
"2017 JUN","-3.3"
"2017 JUL","4.2"
"2017 AUG","-0.9"
"2017 SEP","0.4"
"2017 OCT","2.7"
"2017 NOV","0.5"
"2017 DEC","-0.9"
"2018 JAN","1.0"
"2018 FEB","-0.3"
"2018 MAR","-0.2"
"2018 APR","-0.6"
"2018 MAY","-2.1"
"2018 JUN","1.6"
"2018 JUL","-1.1"
"2018 AUG","0.0"
"2018 SEP","0.1"
"2018 OCT","-0.5"
"2018 NOV","0.0"
"2018 DEC","-0.6"
"2019 JAN","1.8"
"2019 FEB","-1.8"
"2019 MAR","-0.7"
"2019 APR","2.6"
"2019 MAY","-2.4"
"2019 JUN","0.0"
"2019 JUL","2.4"
"2019 AUG","-2.0"
"2019 SEP","0.3"
"2019 OCT","-0.2"
"2019 NOV","-0.1"
"2019 DEC","1.9"
"2020 JAN","-0.1"
"2020 FEB","-0.3"
"2020 MAR","-0.1"
"2020 APR","-1.6"
"2020 MAY","0.8"
"2020 JUN","1.3"
"2020 JUL","-1.7"
"2020 AUG","0.7"
"2020 SEP","-3.5"
"2020 OCT","0.1"
"2020 NOV","0.5"
"2020 DEC","0.6"
"2021 JAN","-1.2"
"2021 FEB","1.9"
"2021 MAR","-1.4"
"2021 APR","-0.1"
"2021 MAY","1.3"
"2021 JUN","-1.4"
"2021 JUL","-2.7"
"2021 AUG","3.1"
